Time,HR,rr,HRV
12.342005729675293,67,0
13.654292583465576,67,0
25.93127155303955,67,0
27.063248872756958,68,0
28.062427043914795,67,0
30.05442523956299,67,0
31.05296516418457,67,0
31.058024883270264,67,[889.6484375],0
31.062642335891724,67,[907.2265625],0
32.054222106933594,67,[916.9921875],18
33.04866695404053,66,[824.21875],9
34.04832887649536,66,[852.5390625],92
34.0536994934082,66,[852.5390625],28
35.04677605628967,66,[916.9921875],0
36.043681621551514,66,[870.1171875],64
37.04043364524841,65,[843.75],46
38.03809928894043,65,[907.2265625],27
38.043274879455566,65,[879.8828125],64
39.03646969795227,65,[879.8828125],28
40.0336172580719,65,[824.21875],0
41.03080487251282,65,[879.8828125],55
42.02833104133606,65,[971.6796875],55
42.03385806083679,65,[870.1171875],92
43.026365995407104,64,[889.6484375],101
44.0246000289917,64,[889.6484375],19
56.398072719573975,65,[770.5078125],0
57.44342112541199,65,[806.640625],119
58.43707251548767,65,[806.640625],36
60.43264603614807,65,[852.5390625],0
61.433424949645996,66,"[879.8828125, 696.2890625]",46
61.438953161239624,67,[843.75],27
61.44294762611389,67,[852.5390625],36
62.43007826805115,67,[907.2265625],9
63.42489171028137,67,[907.2265625],55
64.42428541183472,67,[953.125],0
64.43075275421143,67,[1274.4140625],46
66.41650056838989,67,0
66.42281079292297,67,[1118.1640625],0
67.41344118118286,67,[760.7421875],0
68.41526103019714,67,[760.7421875],0
68.42054915428162,67,"[742.1875, 788.0859375]",0
69.41106343269348,67,[732.421875],18
